test_id,innova_ch,vc_unit,loc,s_r
1,1,,room,s
1,2,,window,s
1,4,,room,r
1,3,,window,r
2,1,T,room,s
2,2,R,window,s
2,4,G,room,r
2,3,C,window,r
2,6,,downstair,
2,5,,room_aside_the_source,
3,1,T,room,s
3,2,R,window,s
3,4,G,room,r
3,3,C,window,r
3,5,,downstair,
3,6,,room_aside_the_source,
4,1,O,room,s
4,2,T,window,s
4,4,I,room,r
4,3,G,window,r
4,5,,downstair,
4,6,,room_aside_the_source,
5,1,O,room,s
5,2,T,window,s
5,3,I,room,r
5,4,G,window,r
5,5,,downstair,
5,6,,room_aside_the_source,
6,1,O,room,s
6,2,T,window,s
6,4,I,room,r
6,3,G,window,r
6,5,,downstair,
6,6,,room_aside_the_source,
7,1,O,room,s
7,2,T,window,s
7,4,I,room,r
7,3,G,window,r
7,5,,downstair,
7,6,,room_aside_the_source,
8,1,O,room,s
8,2,T,window,s
8,4,I,room,r
8,3,G,window,r
8,5,,downstair,
8,6,,room_aside_the_source,
9,1,O,room,s
9,2,T,window,s
9,4,I,room,r
9,3,G,window,r
9,5,,downstair,
9,6,,room_aside_the_source,
10,1,O,room,s
10,2,T,window,s
10,4,I,room,r
10,3,G,window,r
10,5,,downstair,
10,6,,room_aside_the_source,
11,1,O,room,s
11,2,T,window,s
11,4,I,room,r
11,3,G,window,r
11,5,,downstair,
11,6,,room_aside_the_source,
12,1,O,room,s
12,2,T,window,s
12,4,I,room,r
12,3,G,window,r
12,5,,downstair,
12,6,,room_aside_the_source,
13,1,O,room,s
13,2,T,window,s
13,4,I,room,r
13,3,G,window,r
13,5,,downstair,
13,6,,room_aside_the_source,
14,1,O,room,s
14,2,T,window,s
14,4,I,room,r
14,3,G,window,r
14,5,,downstair,
14,6,,room_aside_the_source,
15,1,O,room,s
15,2,T,window,s
15,4,I,room,r
15,3,G,window,r
15,5,,downstair,
15,6,,room_aside_the_source,
16,1,O,room,s
16,2,T,window,s
16,4,I,room,r
16,3,G,window,r
16,5,,downstair,
16,6,,room_aside_the_source,
17A,1,O,room,s
17A,2,T,window,s
17A,4,I,room,r
17A,3,G,window,r
17A,5,,downstair,
17A,6,,room_aside_the_source,
17B,1,O,room,s
17B,2,T,window,s
17B,4,I,room,r
17B,3,G,window,r
17B,5,,downstair,
17B,6,,room_aside_the_source,
18,1,O,room,s
18,2,T,window,s
18,4,I,room,r
18,3,G,window,r
18,5,,downstair,
18,6,,room_aside_the_source,
19,1,O,room,s
19,2,T,window,s
19,4,I,room,r
19,3,G,window,r
19,5,,downstair,
19,6,,room_aside_the_source,
20,1,O,room,s
20,2,T,window,s
20,4,I,room,r
20,3,G,window,r
20,5,,downstair,
20,6,,room_aside_the_source,
21,1,O,room,s
21,2,T,window,s
21,4,I,room,r
21,3,G,window,r
21,5,,downstair,
21,6,,room_aside_the_source,
22,1,O,room,s
22,2,T,window,s
22,4,I,room,r
22,3,G,window,r
22,5,,downstair,
22,6,,room_aside_the_source,
23,1,O,room,s
23,2,T,window,s
23,4,I,room,r
23,3,G,window,r
23,5,,downstair,
23,6,,room_aside_the_source,
24,1,O,room,s
24,2,T,window,s
24,4,I,room,r
24,3,G,window,r
24,5,,downstair,
24,6,,room_aside_the_source,
25,1,O,room,s
25,2,T,window,s
25,4,I,room,r
25,3,G,window,r
25,5,,downstair,
25,6,,room_aside_the_source,
26,1,O,room,s
26,2,T,window,s
26,4,I,room,r
26,3,G,window,r
26,5,,downstair,
26,6,,room_aside_the_source,
27,1,I,room,s
27,2,G,window,s
27,3,O,room,r
27,4,T,window,r
27,5,,downstair,
27,6,,room_aside_the_source,
28,1,I,room,s
28,2,G,window,s
28,3,O,room,r
28,4,T,window,r
28,5,,downstair,
28,6,,room_aside_the_source,
29,1,I,room,s
29,2,G,window,s
29,3,O,room,r
29,4,T,window,r
29,5,,downstair,
29,6,,room_aside_the_source,
30,1,I,room,s
30,2,G,window,s
30,3,O,room,r
30,4,T,window,r
30,5,,downstair,
30,6,,room_aside_the_source,
31,1,I,room,s
31,2,G,window,s
31,3,O,room,r
31,4,T,window,r
31,5,,downstair,
31,6,,room_aside_the_source,
32,1,I,room,s
32,2,G,window,s
32,3,O,room,r
32,4,T,window,r
32,5,,downstair,
32,6,,room_aside_the_source,
33,1,I,room,s
33,2,G,window,s
33,3,O,room,r
33,4,T,window,r
33,5,,downstair,
33,6,,room_aside_the_source,
34,1,I,room,s
34,2,G,window,s
34,3,O,room,r
34,4,T,window,r
34,5,,downstair,
34,6,,room_aside_the_source,
35,1,I,room,s
35,2,G,window,s
35,3,O,room,r
35,4,T,window,r
35,5,,downstair,
35,6,,room_aside_the_source,
36,1,I,room,s
36,2,G,window,s
36,3,O,room,r
36,4,T,window,r
36,5,,downstair,
36,6,,room_aside_the_source,